Time,Vehicle,Driver,Date,Year,Engine Size (L),HP,Torque (Nm),0-100,Price (EUR)
7:58.52,Audi RS4 Avant (B9),Christian Gebhardt,2018-07-12,2021,4.0,591.0,800.0,3.5,92650.0
7:59,Audi RS5 Coupe (8T),Horst von Saurma,2012-06,2022,2.9,444.0,601.0,3.7,64982.5
7:59,"Lotus Evora 400(2016, 3.5 S/C, 406 PS)",Christian Gebhardt,2016,2021,3.5,416.0,430.0,3.8,82407.5
7:59,"Mercedes-Benz CLS63 AMG (W218, facelift, 2013)",Horst von Saurma,2013-07,2019,4.0,603.0,850.0,3.4,112200.0
7:59.74,Porsche Cayenne Turbo S (958.2),,,2022,4.0,620.0,819.0,2.9,159545.0
8:01,"BMW M2 (F87, 2016, 3.0 T, 370 PS)",Christian Gebhardt,2016,2022,3.0,405.0,550.0,4.0,50065.0
8:02,Aston Martin DBS,Horst von Saurma,2009,2021,5.2,630.0,700.0,3.5,171270.75
8:03,"Aston Martin V8 Vantage (Mk1, 2005, 385 PS)",Horst von Saurma,2005,2021,4.0,503.0,685.0,3.5,120785.0
8:03,"Porsche 911 GT3 (996.1, pre-facelift, 1999, 360 PS)",Horst von Saurma,1999,2022,3.0,379.0,449.0,4.0,86020.0
8:03.33,"Alpine A110 (2019, 1.8 T, 252 PS)",Christian Gebhardt,2019-05-15,2021,1.8,288.0,320.0,4.4,60775.0
8:04,"Mercedes-Benz A45 AMG 4MATIC (W176, facelift)",Christian Gebhardt,2016-02,2021,2.0,382.0,480.0,4.0,42500.0
8:04,"Porsche Boxster S (981.1, pre-facelift, 2012, N/A 3.4, 315 PS)",Horst von Saurma,2012,2021,2.0,300.0,380.0,4.7,52700.0
8:04.40,Alfa Romeo 4C,Horst von Saurma,2013-09-12,2020,1.7,237.0,350.0,4.1,57077.5
8:05,Audi RS6 Avant (C7),Horst von Saurma,2014,2021,4.0,591.0,800.0,3.5,92650.0
8:05,BMW M3 (E92),Horst von Saurma,2007-12,2022,4.4,617.0,750.0,3.1,110500.0
8:05,BMW M5 (F10),Horst von Saurma,2012,2022,4.4,600.0,750.0,3.2,87975.0
8:05,Mercedes-Benz CLK63 Black Series,Horst von Saurma,2007,2021,4.0,720.0,800.0,3.2,277142.5
8:05,"Porsche Cayman S (981.1, 2013, PDK, N/A 3.4, 325 PS)",Horst von Saurma,2013,2021,2.0,300.0,380.0,5.1,50065.0
8:06,"Mercedes-Benz SL55 AMG (R230, 2003, 500 PS)",Horst von Saurma,2003,2015,6.2,622.0,635.0,3.2,188700.0
8:06.01,Subaru WRX STi Spec-C (Prototype),Motoharu Kurosawa,2004,2021,2.5,310.0,393.0,4.6,32444.5
8:07.76,"BMW M6 Coupe (E63, 2006, 507 PS)",Prinz Leopold von Bayern,2006-03,2021,3.0,473.0,550.0,3.8,61030.0
8:08.73,Porsche 911 Turbo 3.3,Motoharu Kurosawa,1991,2022,3.8,640.0,800.0,2.6,176800.0
8:09,Audi RS4 (B7),Horst von Saurma,2006,2022,4.0,591.0,800.0,3.5,99450.0
8:09,"Audi TT RS (Mk2, 8J, 2010, 2.5 T, 340 PS)",Horst von Saurma,2010,2021,2.5,394.0,480.0,3.6,57460.0
8:09,"BMW M6 Coupe (E63, 2005, 507 PS)",Horst von Saurma,2005,2021,3.0,473.0,550.0,3.8,61030.0
8:10,Porsche Boxster S (987),,,2021,2.0,300.0,380.0,4.7,52700.0
8:10,Porsche Cayman R (987.2),Horst von Saurma,2011,2021,2.0,300.0,380.0,5.1,50065.0
8:10,"Mercedes-Benz A45 AMG 4MATIC (W176, pre-facelift)",Horst von Saurma,2014-03,2021,2.0,382.0,480.0,4.0,42500.0
8:10,"Mercedes-Benz E63 AMG (W212, pre-facelift, 2010, N/A 6.2, 525 PS)",Horst von Saurma,2010,2021,4.0,503.0,700.0,3.8,57800.0
8:12,"Mercedes-Benz SL55 AMG (R230, 2002, 476 PS)",Horst von Saurma,2002,2015,6.2,622.0,635.0,3.2,188700.0
8:13,BMW M5 (E60),Horst von Saurma,2004,2022,4.4,600.0,750.0,3.2,87975.0
8:13,Mercedes-Benz C63 AMG (W204),Horst von Saurma,2008,2021,4.0,503.0,700.0,3.8,57800.0
8:14,"Mercedes-Benz SL65 AMG (R230, pre-facelift, 2005)",Horst von Saurma,2005,2015,6.2,622.0,635.0,3.2,188700.0
8:14,Mercedes-Benz SLK55 AMG Black Series,Horst von Saurma,2007,2014,6.2,622.0,635.0,3.5,233750.0
8:15,"Chevrolet Corvette (C6, 2005, N/A 6.0, 404 PS)",Horst von Saurma,2005,2021,6.2,490.0,630.0,2.8,50915.0
8:16,"Aston Martin DB9 (2004, 456 PS)",Horst von Saurma,2004,2021,5.2,630.0,700.0,3.5,171270.75
8:16,"Audi TT S Coupe (Mk3, FV/8S, 2015, 2.0 T, 310 PS)",Christian Gebhardt,2015,2021,2.5,394.0,480.0,3.6,57460.0
8:16,"BMW M235i (F22, 2015, 3.0 T, 322 PS)",Christian Gebhardt,2015,2022,4.4,600.0,750.0,3.2,87975.0
8:17,"Porsche Cayman S (987.2, facelift 2009)",Horst von Saurma,2009,2021,2.0,300.0,380.0,5.1,50065.0
8:18,"BMW M135i (F20, 2012)",Horst von Saurma,2012,2022,4.4,600.0,750.0,3.2,87975.0
8:18,"BMW Z8 (E52, 2000, 400 PS)",Horst von Saurma,2000,2022,4.4,617.0,750.0,3.1,110500.0
8:18,"Ford Mustang GT (Mk6, S550, facelift, 2020, N/A 5.0, 450 PS)",Christian Gebhardt,2020,2022,5.0,460.0,569.0,4.3,33150.0
8:18,"Porsche Boxster S (987.2, facelift 2009)",Horst von Saurma,2009,2021,2.0,300.0,380.0,4.7,52700.0
8:20,"Audi RS3 Sportback (8P, 2011, 2.5 T, 340 PS)",Horst von Saurma,2011,2022,4.0,591.0,800.0,3.5,97788.25
8:20,Audi RS6 (C5),Horst von Saurma,2002,2022,4.0,591.0,800.0,3.5,96050.0
8:20,Chevrolet Camaro SS (2010),,2008,2021,6.2,455.0,617.0,4.1,36125.0
8:22,BMW M3 (E46),Horst von Saurma,2000,2022,4.4,617.0,750.0,3.1,110500.0
8:22,"BMW Z3 M Coupe (E36/8, 1998, 321 PS)",Horst von Saurma,1998,2021,3.0,473.0,550.0,3.8,61030.0
8:22,Mercedes-Benz C55 AMG (W203),Horst von Saurma,2004,2021,4.0,503.0,700.0,3.8,57800.0
8:23,Aston Martin DB7 GT,Horst von Saurma,2003,2021,5.2,630.0,700.0,3.5,171270.75
8:23,"Porsche Boxster S (987.1, pre-facelift, 2006, 282 PS)",Horst von Saurma,2006,2021,2.0,300.0,380.0,4.7,52700.0
8:24,Mercedes-Benz SLK55 AMG (R171),Horst von Saurma,2005,2015,6.2,622.0,635.0,3.2,188700.0
8:25,Audi RS4 Avant (B5),Horst von Saurma,2000,2021,4.0,591.0,800.0,3.5,92650.0
8:25,"Porsche Cayman S (987.1, pre-facelift, 2006, 295 PS)",Horst von Saurma,2006,2021,2.0,300.0,380.0,5.1,50065.0
8:26,Audi S5,Horst von Saurma,2008,2022,3.0,349.0,500.0,4.4,44625.0
8:26,Mercedes-Benz SLK32 AMG (R170),Horst von Saurma,2001,2015,6.2,622.0,635.0,3.2,188700.0
8:26,Nissan 350Z,Horst von Saurma,2003,2021,3.7,332.0,366.0,5.0,25576.5
8:28,BMW M5 (E39),Horst von Saurma,1999,2022,4.4,600.0,750.0,3.2,87975.0
8:28,"Subaru WRX STi (Mk4, VA, facelift, 2015, 2.5 T, 300 PS)",Christian Gebhardt,2015,2021,2.5,310.0,393.0,4.6,32444.5
8:29,Audi S4 Avant (B6),Horst von Saurma,2003,2021,4.0,591.0,800.0,3.5,92650.0
8:29,"Audi TTS Coupé (8J, 2008, 272 PS)",Horst von Saurma,2008,2021,2.5,394.0,480.0,3.6,57460.0
8:29,Mercedes-Benz CLK55 AMG (W208),Horst von Saurma,2000,2019,4.0,603.0,850.0,3.4,112200.0
